Team,Year,Week,Rating,Prev_Rating,Opponent,Score
ARI,1970,1,0,0,LAR,-9.15
ARI,1970,2,-2.2875,-2.2875,WAS,3.65
ARI,1970,3,-1.1,-1.1,DAL,4.8
ARI,1970,4,-0.116666667,-0.116666667,NOS,-0.25
ARI,1970,5,-0.135714286,-0.135714286,PHI,7.496875
ARI,1970,6,0.818359375,0.818359375,NYG,-8.791071429
ARI,1970,7,-0.249355159,-0.249355159,TEN,21.02434896
ARI,1970,8,1.878015253,1.878015253,NEP,12.19456019
ARI,1970,9,2.815882974,2.815882974,DAL,21.57369113
ARI,1970,10,4.379033654,4.379033654,KCC,3.171002116
ARI,1970,11,4.286108151,4.286108151,PHI,3.517679188
ARI,1970,12,4.231220368,4.231220368,DET,0.143639518
ARI,1970,13,3.958714978,3.958714978,NYG,-7.401994046
ARI,1970,14,3.248670664,3.248670664,WAS,2.695117348
ARI,1970,15,3.216108704,3.216108704,,
ARI,1970,16,3.216108704,3.216108704,,
ARI,1970,17,3.216108704,3.216108704,,
ARI,1970,18,3.216108704,3.216108704,,
ARI,1970,19,3.216108704,3.216108704,,
ARI,1970,20,3.216108704,3.216108704,,
ARI,1970,21,3.216108704,3.216108704,,
ARI,1970,22,3.216108704,3.216108704,,
ARI,1971,1,3.216108704,3.216108704,WAS,-3.144827856
ARI,1971,2,1.625874564,1.625874564,NYJ,3.092340082
ARI,1971,3,1.919167668,1.919167668,NYG,-0.647044226
ARI,1971,4,1.491465685,1.491465685,ATL,10.90866002
ARI,1971,5,2.836779162,2.836779162,WAS,-5.527873324
ARI,1971,6,1.791197601,1.791197601,SFF,-3.675056117
ARI,1971,7,1.183836077,1.183836077,BUF,-0.088425522
ARI,1971,8,1.056609917,1.056609917,DAL,0.09268716
ARI,1971,9,0.968980575,0.968980575,SDC,-0.763818085
ARI,1971,10,0.824580687,0.824580687,PHI,-13.45095192
ARI,1971,11,-0.273537206,-0.273537206,NYG,9.094303855
ARI,1971,12,0.395594299,0.395594299,GBP,-1.835447029
ARI,1971,13,0.24685821,0.24685821,PHI,-7.950448386
ARI,1971,14,-0.265473452,-0.265473452,DAL,-4.96721737
ARI,1971,15,-0.542046624,-0.542046624,,
ARI,1971,16,-0.542046624,-0.542046624,,
ARI,1971,17,-0.542046624,-0.542046624,,
ARI,1971,18,-0.542046624,-0.542046624,,
ARI,1971,19,-0.542046624,-0.542046624,,
ARI,1971,20,-0.542046624,-0.542046624,,
ARI,1971,21,-0.542046624,-0.542046624,,
ARI,1971,22,-0.542046624,-0.542046624,,
ARI,1972,1,-0.542046624,-0.542046624,IND,8.447291107
ARI,1972,2,1.705287809,1.705287809,WAS,-4.046983855
ARI,1972,3,0.554833476,0.554833476,PIT,-4.220835246
ARI,1972,4,-0.241111311,-0.241111311,MIN,6.957808468
ARI,1972,5,0.7873058,0.7873058,WAS,-14.36755972
ARI,1972,6,-1.107052389,-1.107052389,NYG,-2.173483086
ARI,1972,7,-1.225544689,-1.225544689,CHI,-11.3149735
ARI,1972,8,-2.23448757,-2.23448757,PHI,-3.292782563
ARI,1972,9,-2.330696206,-2.330696206,DAL,-0.202001655
ARI,1972,10,-2.153304993,-2.153304993,NYG,-5.749578932
ARI,1972,11,-2.42994145,-2.42994145,MIA,-5.680724315
ARI,1972,12,-2.662140226,-2.662140226,DAL,-8.969140095
ARI,1972,13,-3.082606884,-3.082606884,LAR,4.068469587
ARI,1972,14,-2.635664605,-2.635664605,PHI,-7.521688039
ARI,1972,15,-2.923077748,-2.923077748,,
ARI,1972,16,-2.923077748,-2.923077748,,
ARI,1972,17,-2.923077748,-2.923077748,,
ARI,1972,18,-2.923077748,-2.923077748,,
ARI,1972,19,-2.923077748,-2.923077748,,
ARI,1972,20,-2.923077748,-2.923077748,,
ARI,1972,21,-2.923077748,-2.923077748,,
ARI,1972,22,-2.923077748,-2.923077748,,
ARI,1973,1,-2.923077748,-2.923077748,PHI,0.341344975
ARI,1973,2,-2.106972067,-2.106972067,WAS,4.054547506
ARI,1973,3,-0.874668152,-0.874668152,DAL,-14.0664536
ARI,1973,4,-3.073299061,-3.073299061,OAK,-2.94437901
ARI,1973,5,-3.054881911,-3.054881911,PHI,-9.287995944
ARI,1973,6,-3.834021165,-3.834021165,WAS,-4.809912713
ARI,1973,7,-3.942453559,-3.942453559,NYG,0.698949418
ARI,1973,8,-3.478313261,-3.478313261,DEN,-3.694013998
ARI,1973,9,-3.497922419,-3.497922419,GBP,-1.611852221
ARI,1973,10,-3.340749903,-3.340749903,NYG,-7.035910584
ARI,1973,11,-3.624993032,-3.624993032,CIN,-9.259107424
ARI,1973,12,-4.027429774,-4.027429774,DET,-2.894409342
ARI,1973,13,-3.951895079,-3.951895079,ATL,13.71265122
ARI,1973,14,-2.847860935,-2.847860935,DAL,-12.25329789
ARI,1973,15,-3.401121932,-3.401121932,,
ARI,1973,16,-3.401121932,-3.401121932,,
ARI,1973,17,-3.401121932,-3.401121932,,
ARI,1973,18,-3.401121932,-3.401121932,,
ARI,1973,19,-3.401121932,-3.401121932,,
ARI,1973,20,-3.401121932,-3.401121932,,
ARI,1973,21,-3.401121932,-3.401121932,,
ARI,1973,22,-3.401121932,-3.401121932,,
ARI,1974,1,-3.401121932,-3.401121932,PHI,-4.562057683
ARI,1974,2,-3.69135587,-3.69135587,WAS,7.101079532
ARI,1974,3,-1.53286879,-1.53286879,BAL,6.172778954
ARI,1974,4,-0.248594166,-0.248594166,SFF,14.30348821
ARI,1974,5,1.830274746,1.830274746,DAL,4.23888548
ARI,1974,6,2.131351088,2.131351087,TEN,-1.768000086
ARI,1974,7,1.698089846,1.698089846,WAS,4.296449779
ARI,1974,8,1.957925839,1.957925839,DAL,4.388533337
ARI,1974,9,2.178890157,2.178890157,MIN,1.88884067
ARI,1974,10,2.154719367,2.154719366,PHI,5.949789423
ARI,1974,11,2.446647833,2.446647832,NYG,1.275834828
ARI,1974,12,2.363018332,2.363018331,KCC,-2.558097759
ARI,1974,13,2.034943926,2.034943925,NOS,-7.957008402
ARI,1974,14,1.410446906,1.410446904,NYG,3.684879471
ARI,1974,15,1.544237057,1.544237055,MIN,-1.928414922
ARI,1974,16,1.351311947,1.351311944,,
ARI,1974,17,1.351311947,1.351311944,,
ARI,1974,18,1.351311947,1.351311944,,
ARI,1974,19,1.351311947,1.351311944,,
ARI,1974,20,1.351311947,1.351311944,,
ARI,1974,21,1.351311947,1.351311944,,
ARI,1974,22,1.351311947,1.351311944,,
ARI,1975,1,1.351311947,1.351311944,ATL,-0.979876491
ARI,1975,2,0.768514837,0.768514831,DAL,5.572560905
ARI,1975,3,1.729324051,1.729324042,NYG,3.674084888
ARI,1975,4,2.053450857,2.053450842,WAS,3.293135457
ARI,1975,5,2.230548657,2.230548635,PHI,4.480640564
ARI,1975,6,2.511810145,2.511810115,NYG,3.480073775
ARI,1975,7,2.619394993,2.619394952,NEP,1.024353315
ARI,1975,8,2.459890825,2.459890774,PHI,2.44611042
ARI,1975,9,2.458638061,2.458637994,WAS,4.202729423
ARI,1975,10,2.603979008,2.603978922,NYJ,15.33356576
ARI,1975,11,3.583177989,3.583177887,BUF,-8.140322989
ARI,1975,12,2.745785062,2.745784941,DAL,10.85080024
ARI,1975,13,3.286119407,3.286119261,CHI,4.218948333
ARI,1975,14,3.344421215,3.34442104,DET,8.812218514
ARI,1975,15,3.66605635,3.666056144,LAR,1.023674697
ARI,1975,16,3.51925737,3.519257126,,
ARI,1975,17,3.51925737,3.519257126,,
ARI,1975,18,3.51925737,3.519257126,,
ARI,1975,19,3.51925737,3.519257126,,
ARI,1975,20,3.51925737,3.519257126,,
ARI,1975,21,3.51925737,3.519257126,,
ARI,1975,22,3.51925737,3.519257126,,
ARI,1976,1,3.51925737,3.519257126,SEA,6.109628563
ARI,1976,2,4.166850168,4.166849848,GBP,13.86389323
ARI,1976,3,6.10625878,6.106258315,SDC,-9.331444073
ARI,1976,4,3.533308305,3.533307714,NYG,2.395690691
ARI,1976,5,3.370791503,3.370790703,PHI,8.841392292
ARI,1976,6,4.054616601,4.054615564,DAL,6.743477342
ARI,1976,7,4.353378906,4.353377607,WAS,-0.330400269
ARI,1976,8,3.885000988,3.884999423,SFF,1.812551759
ARI,1976,9,3.696596513,3.69659464,PHI,2.828836086
ARI,1976,10,3.624283144,3.624280906,LAR,8.079265754
ARI,1976,11,3.966974114,3.966971487,WAS,-0.963856778
ARI,1976,12,3.614771908,3.614768894,DAL,4.85567481
ARI,1976,13,3.697498768,3.697495338,IND,6.988667498
ARI,1976,14,3.903196813,3.903193129,NYG,2.694886927
ARI,1976,15,3.832119761,3.832115605,,
ARI,1976,16,3.832119761,3.832115605,,
ARI,1976,17,3.832119761,3.832115605,,
ARI,1976,18,3.832119761,3.832115605,,
ARI,1976,19,3.832119761,3.832115605,,
ARI,1976,20,3.832119761,3.832115605,,
ARI,1976,21,3.832119761,3.832115605,,
ARI,1976,22,3.832119761,3.832115605,,
ARI,1977,1,3.832119761,3.832115605,DEN,1.094233383
ARI,1977,2,3.147648167,3.147642486,CHI,1.205521335
ARI,1977,3,2.7592228,2.759215403,WAS,-0.476122859
ARI,1977,4,2.219998524,2.219988966,DAL,1.092395014
ARI,1977,5,2.058912308,2.058900345,PHI,2.077959012
ARI,1977,6,2.061293146,2.061278997,NOS,5.423812912
ARI,1977,7,2.434906453,2.434889903,NYG,11.00139961
ARI,1977,8,3.291555769,3.29153648,MIN,14.86074479
ARI,1977,9,4.343300226,4.343277816,DAL,11.30236439
ARI,1977,10,4.923222239,4.923196859,PHI,2.101011378
ARI,1977,11,4.706129096,4.706100761,MIA,-17.46607323
ARI,1977,12,3.122400358,3.122370809,NYG,-9.00614498
ARI,1977,13,2.313830669,2.313797944,WAS,-2.354009054
ARI,1977,14,2.022090687,2.022054879,TBB,-8.246020292
ARI,1977,15,1.418084158,1.418045559,,
ARI,1977,16,1.418084158,1.418045559,,
ARI,1977,17,1.418084158,1.418045559,,
ARI,1977,18,1.418084158,1.418045559,,
ARI,1977,19,1.418084158,1.418045559,,
ARI,1977,20,1.418084158,1.418045559,,
ARI,1977,21,1.418084158,1.418045559,,
ARI,1977,22,1.418084158,1.418045559,,
ARI,1978,1,1.418084158,1.418045559,CHI,-2.412413991
ARI,1978,2,0.460459621,0.460403188,NEP,-4.504913267
ARI,1978,3,-0.532614957,-0.53267322,WAS,-8.991710937
ARI,1978,4,-1.942464287,-1.942534319,DAL,2.901482456
ARI,1978,5,-1.250471895,-1.250554104,MIA,-3.541821709
ARI,1978,6,-1.536890622,-1.536974968,IND,-9.374761641
ARI,1978,7,-2.407765179,-2.407854796,DAL,3.174277739
ARI,1978,8,-1.849560887,-1.849663788,NYJ,-9.046915269
ARI,1978,9,-2.503865831,-2.503970566,PHI,3.885657156
ARI,1978,10,-1.971405582,-1.971521464,NYG,1.364180958
